指标,数量
近3个月需要年审(待办),149
其中已逾期,20
已年审(已完成),141
完成比例%,48.62
计算公式,141 / (141+149) = 48.62%

【待办按检验到期月】
月份,车辆数
2026-03,2
2026-04,1
2026-05,2
2026-06,15
2026-07,79
2026-08,8
2026-09,42

【已完成按办理时间月】
月份,车辆数
2026-06,110
2026-07,31

【待办明细】
车牌号,品牌,型号,运营状态,检验到期日,剩余天数,区域,状态
粤AGP5301,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-07-07 15:03:52,358,广东省-广州市,已完成
沪A03397F,苏龙,海格牌18吨双飞翼货车,租赁,2027-09-30,2026-07-07 11:15:43,85,江苏省-南京市,已完成
沪A08037F,苏龙,海格牌18吨双飞翼货车,租赁,2026-09-30,2026-07-06 13:09:47,86,江苏省-南京市,已完成
沪A39289F,苏龙,海格牌18吨双飞翼货车,租赁,2027-09-30,2026-07-06 13:09:05,451,江苏省-南京市,已完成
沪A61738F,苏龙,海格牌18吨双飞翼货车,租赁,2027-09-30,2026-07-06 13:08:23,451,江苏省-南京市,已完成
粤AGP5169,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-07-06 00:13:49,359,四川省-成都市,已完成
京A05989F,楚风,18吨厢式货车,库存,2027-06-30,2026-07-04 10:44:54,361,北京市-北京市,已完成
粤AGP2009,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-07-03 15:48:59,362,广东省-深圳市,已完成
粤AGP4569,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-07-03 15:48:03,362,广东省-深圳市,已完成
粤AGP5613,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-07-03 15:47:12,362,广东省-深圳市,已完成
粤AGP4482,现代,帕力安牌4.5吨冷链车,库存,2027-06-30,2026-07-03 15:46:18,362,广东省-深圳市,已完成
粤AGP5712,现代,帕力安牌4.5吨冷链车,租赁,2027-06-30,2026-07-03 14:38:35,362,广东省-广州市,已完成
沪A60339F,苏龙,海格牌18吨双飞翼货车,租赁,2027-09-30,2026-07-03 12:55:46,454,江苏省-南京市,已完成
